Time Slot; Network Type; Latitude; Longitude; Signal Strength; Round Trip Delay
1572252883619; WIFI; 63.417799; 10.40132367; 99; 95
1572252884633; WIFI; 63.4178794; 10.40134973; 99; 21
1572252885648; WIFI; 63.41802546; 10.401536; 99; 112
1572252886663; WIFI; 63.41797281; 10.40155919; 99; 127
1572252887681; WIFI; 63.41798402; 10.40151431; 99; 84
1572252888696; WIFI; 63.41804433; 10.40145929; 99; 154
1572252889702; WIFI; 63.41804649; 10.40142926; 99; 448
1572252890718; WIFI; 63.41804649; 10.40142926; 99; 38
1572252891733; WIFI; 63.41804649; 10.40142926; 99; 39
1572252892751; WIFI; 63.41804649; 10.40142926; 99; 178
1572252893768; WIFI; 63.41804649; 10.40142926; 99; 50
1572252894782; WIFI; 63.41804649; 10.40142926; 99; 196
1572252895788; WIFI; 63.41804649; 10.40142926; 99; 201
1572252896804; WIFI; 63.41804649; 10.40142926; 99; 49
1572252897822; WIFI; 63.41804649; 10.40142926; 99; 238
1572252898838; WIFI; 63.41804649; 10.40142926; 99; 243
1572252898838; WIFI; 63.41804649; 10.40142926; 99; 243
1572252899856; WIFI; 63.41804649; 10.40142926; 99; 57
1572252900872; WIFI; 63.41804649; 10.40142926; 99; 50
1572252901887; WIFI; 63.41804649; 10.40142926; 99; 33
1572252902902; WIFI; 63.41804649; 10.40142926; 99; 48
1572252903918; WIFI; 63.41804649; 10.40142926; 99; 27
1572252904933; WIFI; 63.41804649; 10.40142926; 99; 84
1572252905950; WIFI; 63.41804649; 10.40142926; 99; 95
1572252906967; WIFI; 63.41804649; 10.40142926; 99; 109
1572252907984; WIFI; 63.41804649; 10.40142926; 99; 101
1572252908999; WIFI; 63.41804649; 10.40142926; 99; 116
1572252910013; WIFI; 63.41804649; 10.40142926; 99; 125
1572252911029; WIFI; 63.41804649; 10.40142926; 99; 40
1572252912045; WIFI; 63.41804649; 10.40142926; 99; 36
1572252913061; WIFI; 63.41804649; 10.40142926; 99; 149
1572252914077; WIFI; 63.41804649; 10.40142926; 99; 152
1572252915093; WIFI; 63.41804649; 10.40142926; 99; 37
1572252916106; WIFI; 63.41804649; 10.40142926; 99; 166
1572252917122; WIFI; 63.41804649; 10.40142926; 99; 399
1572252918137; WIFI; 63.41804649; 10.40142926; 99; 185
1572252918137; WIFI; 63.41804649; 10.40142926; 99; 185
1572252919151; WIFI; 63.41804649; 10.40142926; 99; 40
1572252920167; WIFI; 63.41804649; 10.40142926; 99; 21
1572252921180; WIFI; 63.41804649; 10.40142926; 99; 41
1572252922197; WIFI; 63.41804649; 10.40142926; 99; 38
1572252923212; WIFI; 63.41804649; 10.40142926; 99; 48
1572252924229; WIFI; 63.41804649; 10.40142926; 99; 248
1572252925243; WIFI; 63.41804649; 10.40142926; 99; 57
1572252926259; WIFI; 63.41804649; 10.40142926; 99; 256
1572252927275; WIFI; 63.41804649; 10.40142926; 99; 59
1572252928292; WIFI; 63.41804649; 10.40142926; 99; 66
1572252929306; WIFI; 63.41804649; 10.40142926; 99; 85
1572252930323; WIFI; 63.41804649; 10.40142926; 99; 34
1572252931339; WIFI; 63.41804649; 10.40142926; 99; 40
1572252932355; WIFI; 63.41804649; 10.40142926; 99; 38
